"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S11_20230414"	"Ref8537_S35_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"
"P0A8D6"	23.8823542295183	23.5655228216549	23.6957873172358	24.051273341712	23.8249599055351	23.9284363266996	23.9507278145316	23.90933388949	23.9921693988783	23.6867659504736	23.8341728084008	23.8024855997354	23.7626857639406	23.8684231907376	23.6761387293699	23.7986149762651
"P0AAX3"	22.621196492663	23.2511258119516	22.9425041248206	21.8213496982493	22.2815904973968	22.3139065789233	23.5032211117228	23.2876842016368	23.3857839517973	23.1104457136544	23.2588966519541	23.3989132696047	23.2799143144377	23.1342417373669	23.2476621650712	23.1457897584105
"P00959"	26.8822935849326	27.1327711256638	27.1841961600967	26.8042126717723	26.79327585591	26.8034245358738	27.0749007587144	27.1050658259415	27.1662997953408	26.7601366864687	27.2451318806885	27.0940001821969	27.2327537854273	27.2158791059287	27.0266068518591	27.1784231540335
"P0AEQ1"	23.2155718056842	22.106332900575	22.1075370083012	23.1093683904725	23.1478806324111	23.426291375771	22.3426476586895	22.6732469557338	22.2568715055988	22.6562166584609	22.4159490632481	22.3649954409174	22.2726064363004	22.2304116084027	22.4744035817226	22.32979305411
"P25738"	25.0498327658998	24.4735603460791	24.0457273380447	25.834618893991	25.9573127737804	25.5329857891387	24.5626262748271	25.1699771303529	24.4829553845961	24.8934233769603	24.9101303187999	24.9646303012249	24.8411544853193	24.4760972308166	24.3884732599324	25.2540736268431
"P64596"	26.0373094955989	25.4092782729858	25.5510461417218	26.0855116843054	26.2855816341184	26.1260811789291	25.6721615841535	25.8489979377251	25.7793575725517	25.9858700726836	25.8127363814496	25.6588818754045	25.7805019217973	25.6524215900095	25.705071783907	25.8017285843198
"P00452"	26.4806878464855	26.2019480018814	26.3086523973215	26.60751149271	26.3964148753409	26.2205656448616	26.2472470982712	26.3164662630078	26.3216859229905	25.7331100994039	26.4623962406044	26.178312967503	26.3819039056038	26.3320894214508	26.0694655017138	26.3260689921673
"P10100"	24.5131367468055	24.4772404637822	24.2109878616355	24.2814362679986	24.515965903802	24.6658283778822	24.6094263084962	24.6390602299818	24.5130764916572	24.7062080580498	24.3552139659084	24.5853566311157	24.4673229500528	24.4954039483107	24.642843200374	24.4890338026478
"P0AEG4"	27.0158454798557	27.0706082370072	26.8251856078156	26.9687201349797	27.0586446366794	26.9800336460596	27.1695146306968	27.3596355666603	27.129669778649	27.2969899109095	27.0834882545511	27.1331926295431	27.1252121988665	27.0861538035407	27.1936070216036	27.1581348982571
"P19934"	22.0014563017523	22.003869918067	21.7796736739498	22.010110092979	21.7408471756779	22.3447997661293	22.1692944134708	22.0642572699869	22.0514990537696	22.4676090324846	21.9708227954091	22.1392521837851	21.921347017651	22.0056903320618	22.2988501627384	21.9292475710434
