rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P0A8D6	3726370	4144850	3955880	4517010	3531480	3570250	3819440	3609130	3808470	3582230	3625120	3648440	3441540	3343920	4240140
P0AAX3	844068	1100930	1040280	906319	2618860	2702840	2979870	1959740	2441560	2527630	2444380	2569930	2300040	2006170	1362990
P37617	594343	539609	667153	665098	431083	372141	348116	510538	424921	466695	432202	421666	485513	501894	494679
P00959	18359100	16933400	17674700	16144700	21946600	22056900	20415600	21498100	21788100	20669100	22087600	21681100	22568300	22514400	18254200
P37325	438756	454528	455618	400966	396180	444472	407766	390147	414412	449478	413766	411985	440205	431283	440383
P0AEQ1	2224940	3411550	2582150	2710180	1446760	1385000	1474720	1363070	1495690	1640610	1505590	1579070	1431180	1258600	3092000
P25738	14243100	18893500	13826200	20334300	10606100	11144400	9868600	9283110	11167500	11965400	10258200	9358450	10846800	9478800	14292400
P64596	8810180	8784850	8326700	9943290	7019660	6913140	7052140	7102860	7338970	7343620	6980830	6660400	6938240	7204340	9433720
P00452	11215400	11225500	11298100	12926600	11252900	10756300	9419620	11423100	10948300	10473100	10927800	10852000	10934100	10929000	13131300
P0AEG4	53972500	69132400	57785800	61445600	65924700	70116600	70679900	60150200	70413200	71433000	66987700	66430800	68904600	66977100	59415800
