rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S91_Slot1-25_1_8674	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_023_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
P0A8D6	16064200	15419800	14120300	14822100	14458100	14861500	16902900	13796900	11430200	14096000	13508800	11247100	16240500	16400600	14825800	14341700	16460400	11952700	14924100	13022500	13456600	12828100	12625000	13905500	130121	181670	153914	162464	153072	129328	195996	165348	108428	90262.8	142598	101545	128576	6872060	5727700	6514270	6904130	7444460	6443400	6881030	5832970	6960900	6428390	6091220	5209100	4888780	4123530	3726370	4144850	3955880	4517010	3531480	3570250	3819440	3609130	3808470	3582230	3625120	3648440	3441540	3343920	4240140	3452170	3255640	3531910	3159140	3275810	3318820	3416150	3515140	2865740	2917730	2755730	2920450	2723640	3018710	2660870
P0AAX3	5318550	5366190	10146800	7674530	5673340	4165130	3091340	4708990	9172670	6045120	4754120	7509330	5886560	4204420	12236000	11103200	10978900	8929070	11407200	10924500	11459300	9334090	9963990	10422700	35358.8	46826.3	34312	43866.2	47955.5	24875.5	49499.2	59331.3	57332.3	48436.1	121970	28940.2	83079.6	4935530	4273810	3218930	3639080	4631710	4501330	2891360	2591040	4414660	4577880	3960690	5754610	5512970	5212460	844068	1100930	1040280	906319	2618860	2702840	2979870	1959740	2441560	2527630	2444380	2569930	2300040	2006170	1362990	784064	1208700	842317	893838	709670	577096	790135	794421	747163	779052	1931200	1541710	1343440	1766430	1232510
P00959	122193000	128130000	146706000	154752000	121824000	126164000	116874000	105014000	90902400	118054000	113703000	66225000	119338000	112266000	143216000	145710000	152250000	110313000	161171000	147929000	155302000	158235000	140507000	151989000	186059	216311	187438	204279	206063	200077	224640	215233	212220	244342	257392	224282	256318	33129100	33392000	36145300	30798200	35290800	32453100	30219200	38445800	31312900	33993600	33804500	33725700	45769900	43372300	18359100	16933400	17674700	16144700	21946600	22056900	20415600	21498100	21788100	20669100	22087600	21681100	22568300	22514400	18254200	7927670	8686620	6581300	8596310	8048330	7765440	7164560	7117170	9303860	8941180	10721600	10622900	11135000	10903700	10767600
P0AEQ1	10078600	9327040	3882460	4074950	12364500	11262200	9398370	10096800	17220200	13161300	9991760	13587200	10188500	11732600	5028510	6153290	4830930	6145840	5404520	5283110	4716210	4313780	5696030	4874320	137106	239811	187542	211141	244237	105666	237282	269764	197721	57456.7	76593.1	42300.5	103237	6639310	4818710	5103360	3831370	7292200	5517780	3692970	4268210	6031090	4965120	4840190	3981840	2733350	2369090	2224940	3411550	2582150	2710180	1446760	1385000	1474720	1363070	1495690	1640610	1505590	1579070	1431180	1258600	3092000	1069140	1093310	1221900	1083810	1077680	1036690	1070380	1028420	931668	920148	501895	571820	495986	471510	448269
P25738	34953500	23165500	22526100	19159600	67738300	57215000	58098300	46794600	39917800	56578800	63829900	125469000	52273100	40509800	28661300	36439800	22935500	29641800	27726700	29358300	31063400	22335800	21333100	38428500	544496	234310	493502	173178	213304	260821	190667	522898	401334	73400.6	258982	117234	142744	157679000	121491000	107463000	133523000	119214000	123662000	222674000	69702000	189591000	166167000	129046000	74848500	78778100	60300100	14243100	18893500	13826200	20334300	10606100	11144400	9868600	9283110	11167500	11965400	10258200	9358450	10846800	9478800	14292400	8612600	7808840	11963300	8373980	9922470	10832200	10564200	11608800	7917210	7693230	5255010	7622300	6340650	5203400	5910720
P64596	67771300	57249300	44537000	47841000	73582000	71292000	68618800	66387100	86494600	66377400	75143600	108076000	71102200	71021700	51984400	60351200	57468000	68897000	56013100	55896800	57404800	51380400	50685700	58468600	274675	298801	266846	284256	299062	298424	352940	322761	309909	144771	258998	197984	231521	13070300	13010800	13602400	13257300	13742100	12820000	12853900	13370900	13052000	12911000	14417400	9676880	10811100	11353400	8810180	8784850	8326700	9943290	7019660	6913140	7052140	7102860	7338970	7343620	6980830	6660400	6938240	7204340	9433720	5609220	6388810	5241820	6192090	5963940	6023660	5539530	5526280	6521150	6271890	5219410	4917110	5152020	5076520	5347070
P00452	84539900	88141400	68961700	76012900	73428100	86646500	94343200	66325800	46715200	74974300	83707600	41296200	90665800	70661200	71781300	75680100	77783000	51817500	84177400	69292200	79580700	77879000	67172200	77607700	161245	171372	175682	155627	159911	144122	152672	171424	146153	147487	145293	121095	155131	15236900	16474400	17396100	18506000	14015100	15103300	19546300	19335300	16764100	17828600	18612100	12096000	15509500	14722100	11215400	11225500	11298100	12926600	11252900	10756300	9419620	11423100	10948300	10473100	10927800	10852000	10934100	10929000	13131300	5868200	6321420	4803860	7020510	5588860	6888550	5163510	5222600	7308760	6095600	6387740	6204870	6587360	6193700	6379170
P10100	17174200	14975700	17294700	13275700	22165400	16242200	14579800	20433300	28265100	19709400	17740000	26275800	18612900	20034500	19308500	19714400	17942000	20998500	16752000	18769000	16630200	17467500	20274900	17586200	337103	316527	355694	228057	385887	288061	312023	378110	348897	138391	346118	199870	247745	7614500	6932430	8053420	6773850	9180250	8113960	7735590	9320680	8132810	7718070	8168180	7337340	8517030	7865100	6159580	5815930	5615380	5641750	5272770	5332240	5138400	5038430	5447600	5340020	5081620	5235910	5390430	5651600	5781450	1248170	1423560	1310170	1296910	1338490	1256290	1284970	1348860	1218180	1372920	1345470	1246820	1235300	1141110	1219510
P0AEG4	135595000	107499000	139264000	117891000	134315000	112358000	128265000	131902000	140125000	133525000	135202000	176488000	149124000	130049000	152358000	171460000	143828000	162178000	140808000	144318000	144366000	144037000	145442000	152535000	1028080	1151490	871997	819193	1168200	930559	1086380	1176340	1218510	578291	1147590	822242	744440	85360800	64302400	63557000	68343400	57913400	75962300	77158700	44338200	78104800	69355800	66838900	63240100	62462900	65925700	53972500	69132400	57785800	61445600	65924700	70116600	70679900	60150200	70413200	71433000	66987700	66430800	68904600	66977100	59415800	10014000	8587190	10675400	9372200	9458440	9553290	9964710	10077600	8119830	8169300	7689580	9177790	8280780	7826850	8070340
P19934	3164640	3033270	3221390	2825120	3400160	2356030	3455410	3552220	5763040	3611880	2133990	2448790	3170880	3620720	3379000	2953010	3285670	4097160	2732420	3557320	2889570	2716550	3508210	2688230	82131.3	127147	100574	157547	128348	155100	109212	128979	140092	162126	144954	94159.9	133954	3532360	3388990	3287570	3081130	3183750	3161830	2903100	2972290	3187250	3101530	3109470	3204710	2872870	2470030	1305200	1311720	1200770	1246470	1192200	1261650	1322840	1187390	1270880	1223630	1183160	1257850	1262130	1165490	1231420	415169	340505	401576	340747	406253	367493	371445	410680	310772	381071	364412	368499	309638	345591	320399
P0A8I8	25419500	26588800	26838800	27530100	22065000	23931500	22739900	23166500	25993800	23991800	23520200	34144800	22406700	23293500	23549700	22812300	27532300	26567500	25068200	23158600	25251600	23643400	25705900	27130700	53685.3	75181	44195.8	76394.2	64927.6	63347.7	77233.1	71503.5	72553.7	63662.4	72372.1	60112.5	71775	2659480	2752870	3179190	2181240	3012220	2747330	2476180	3375180	2526300	2479400	2693950	3438740	3160730	3154220	3476060	3189830	3607600	3050790	3369240	3251160	3192990	3426110	3416900	3306480	3158010	3161710	3211440	3357260	3052430	699706	668646	673888	774815	708888	652674	685574	725259	779410	701561	729584	789977	816576	764198	779629
P0A8T7	259689000	270744000	319191000	328552000	257529000	254402000	278803000	273269000	239912000	273743000	238921000	119773000	266638000	266787000	323680000	316056000	322728000	296977000	321402000	307162000	314506000	315390000	307620000	310592000	1298830	1379190	1194320	1228870	1296650	1380480	1398880	1387680	1378310	1381000	1617890	1479990	1620090	71315700	78484000	82860400	84535700	85657100	76222300	81561600	102065000	75926800	82234800	82650100	80504200	99724900	100516000	48549700	44289000	47368500	50596000	55653100	54171100	46905100	56057900	52238200	50516200	53152800	52693500	52431800	54373900	51352800	18399300	18818400	17334300	19792400	18653600	19568600	17962900	18017600	20671900	19810800	21811700	22138400	22705800	21079700	22281700
P0A794	22952000	23742400	21373100	19062800	19335200	20156800	19704100	22172700	21818200	20537900	20155800	17340600	21361500	20916600	20703400	19587900	20806100	18309500	17491400	20917200	19206500	20627700	22675500	18474100	302624	469444	358800	457450	488756	390494	408842	368985	404141	332147	403065	269668	356903	13584500	16596500	15682100	13229400	17512700	14691600	12206800	18652100	14529800	14951500	14012900	12745500	12759900	12046800	8788620	8483880	9436440	7960560	7824260	7472280	9087200	7732390	7330690	7579300	7934360	7447340	7991600	7933960	8321770	6973300	7527790	6389910	7373320	7298400	7255320	7058260	6960640	7436340	7659990	7037140	6207450	6374590	6002270	6450380
P0A7J3	1696630000	1.507e+09	2063940000	1972890000	1642670000	1622900000	1587400000	1528380000	1403940000	1533340000	1662930000	2092900000	1700930000	1510280000	2118340000	2454420000	2174130000	2192660000	2380420000	2087390000	2264350000	2127410000	1943200000	2227940000	3464760	2882350	3116830	2709700	3362330	2909170	3168850	3605740	3212000	3688540	4454580	3921590	4123100	906459000	833401000	754190000	794328000	829391000	843986000	798508000	637918000	805385000	785598000	749149000	1079070000	805565000	946649000	230515000	285243000	234430000	233430000	315995000	358497000	321270000	311046000	357137000	339473000	301129000	338223000	333665000	313066000	245140000	132618000	133604000	143228000	128859000	139620000	131244000	135061000	140345000	131434000	128269000	173250000	170256000	158691000	165690000	157270000
P00935	63590400	64907300	68161300	62892600	71048000	65623600	57701600	58918500	68124600	63896500	56659000	31739700	61463700	62106900	66118700	70412000	62772200	65747300	63623500	58696200	63410700	69999900	57193500	66531400	177055	175255	181844	154991	226996	156337	205867	197973	226064	185453	197916	194719	192754	14677800	13968600	15750900	14055400	31129900	14668200	12408300	20211800	12556700	13837100	15233100	18293400	17693000	18992100	9582400	9414340	9984660	8565330	8557520	8458410	7388350	8261550	8964360	8107790	8663230	8624980	9027220	9415490	8705960	6222790	7269220	6253450	6583520	6147940	5843070	5742380	5700320	6985900	7531890	6207410	7099490	6946310	6534580	6604930
P0AG84	41906200	44815800	25462700	31545800	34898500	33391800	62025300	41345400	30521600	38139700	38783800	37994100	40708900	42572900	29733300	29903700	24987700	30105100	26765500	32583900	31384300	27876600	27082500	31136300	131570	209277	187871	156563	132599	127077	233133	157121	152018	81427.9	108614	100208	108693	12768400	13594900	13851700	21417900	11200300	14412800	21440100	10995500	18144500	14860500	15470800	9456080	9972840	7653050	14623300	14033500	13634700	28298000	11399800	11214400	9264100	10812800	10625000	11425000	11580000	11389900	9864460	9679170	17403600	4327990	3518410	5649370	4099560	4255030	5329370	5786940	5520970	3199400	3396150	1781610	2789680	2256290	2463720	2555720
P0A9M8	203672000	199441000	164881000	156415000	219373000	199574000	226377000	256068000	226426000	237318000	196584000	103516000	223360000	250878000	165662000	149482000	139692000	179302000	117391000	157146000	142036000	176576000	140005000	158197000	1191940	1139270	1193520	1123030	1281570	1169420	1231190	1247670	1295860	886579	1029600	560317	795701	76016500	79602000	81554200	91606400	90888400	79735000	79657700	91035600	76250400	81199900	81845000	48925600	56401700	63719400	39509200	38955000	39539600	42311400	25129900	24297100	23862600	25099700	26583100	26131900	28576700	26584200	31741500	33296700	42643500	20255300	20051100	18979800	21246600	20910300	20777100	19999300	20192800	21445200	21050600	12864400	12911800	13064600	13695100	14185100
P0A9Q7	239647000	257250000	1613130000	1573840000	210721000	223176000	360532000	249071000	158749000	242398000	230928000	145728000	260647000	254887000	1696650000	1460240000	1331930000	1484160000	1055730000	1567110000	1508950000	1640140000	1282670000	1654200000	798302	785613	746026	791794	635421	801599	949829	802527	650403	4427310	4774220	3817320	4516310	33127900	37034800	40992900	53703800	37592500	44163300	56108200	44146800	47363600	46438800	49997700	240100000	298585000	314953000	31314900	31092600	27073700	51841700	217871000	205385000	181325000	201624000	226730000	232083000	250301000	233227000	265551000	265687000	44326900	21950500	18933200	22228600	21927000	19968100	25460200	23272100	23020600	18537200	15310100	112118000	121553000	128421000	123507000	135002000
P67087	10729500	10254100	9027230	9276970	9960050	9204340	8940140	8775100	8594700	9346680	9894110	9496190	9739380	9389780	8751570	9506260	9173200	8438970	9563570	9264710	9709660	9270180	8909390	9812360	125330	164014	125090	155503	136921	130863	152506	126890	159180	128499	102840	109024	124311	9393420	8352460	7594080	6460960	8147160	7832610	6640760	6631540	7459210	7374100	7521540	6774560	5792900	5683180	3382800	3301400	3361390	2758620	2694450	2701910	2991040	2694940	2742250	2847300	2668240	2799100	2781300	2571270	2873590	2035980	2024580	1975750	1952500	2036950	1900790	1935350	1932380	2020700	2139400	1733770	1732520	1708770	1861560	1672610
P0AEJ2	41906200	45587400	57684200	67863000	24346500	34929100	71858500	69866000	31324400	66104900	35189200	32686900	62510600	53790300	65764200	49775600	61527700	57994100	83649800	87262300	98445900	77488100	25865600	109769000	275962	313935	412458	246655	232331	206383	407603	294777	197515	316342	447396	300357	395973	15653100	15802500	20229700	49090900	19145100	22149400	28459100	12057500	22984200	24328800	27680500	37149400	40411700	33581600	5808330	7575880	5346550	16725200	16520500	18306800	25072700	16679400	16412900	20215600	21050400	20247200	24236600	16780000	12586500	5466520	3073820	5863020	6078310	6091510	6563430	6175990	5277870	2952810	2385430	9183170	7601830	4793840	6196180	5961490
P08142	47698100	50488600	49926600	46209300	52681900	44286700	46734400	50401900	42917500	55183600	40485900	24328500	48569200	51122000	49285100	47926800	46495100	47779300	47603800	49204800	45061400	44150300	54413600	42475200	441710	497714	480776	567399	540322	608623	551353	543727	543393	558996	520732	523366	617186	26759500	28427400	31676800	20796400	31945800	27775100	25726900	34781000	28290800	28413000	28995800	27952400	32377300	28506600	16451700	15923800	15979800	14985100	15146400	15261000	12767700	15277100	14978200	13472300	14922000	15050000	13727500	13775600	16336900	7113470	7279760	6432600	6743640	6807900	6803690	7000310	6600400	7332970	6863000	5392100	6287440	6333830	6015120	6297920
P76576	22792300	20170700	23905400	22839900	25612300	22499500	24704000	26146100	26686000	26748300	22615300	21533900	23018600	23454500	26025000	26704100	25327100	27977900	24269900	26671600	24834800	23073100	26774800	24638500	361274	462304	356271	368502	416590	432089	439045	404264	435954	307095	435287	309684	268789	11412300	9537100	10870300	7302690	11649900	10864500	9489480	12002400	11330600	10671800	9277490	9765260	10176700	9220120	6491690	7195710	6343360	5553430	6474540	6237260	6700060	6496920	6552580	6256200	6314930	6347960	6532770	6234770	6699300	2161100	2129200	2135870	2152450	2246720	2136680	2021860	2215760	2102410	2322210	2039710	2134600	2089120	2083340	2245120
P0AET8	109184000	112180000	81437300	92379800	114822000	133651000	133233000	106724000	97095500	114608000	131010000	99475200	126545000	110560000	98630200	101175000	99429400	89194600	94242800	89720300	105368000	103580000	80704300	100931000	732542	699225	640410	610411	636975	476043	802370	582351	686627	457601	586030	400735	461871	36910800	38789200	43573300	39434500	48872100	43085600	42852200	42206000	37883800	47521600	46434900	34545300	41090300	40956800	12737900	12479100	12337200	14998400	11245700	11044900	12605900	10877900	11644900	12677500	11607800	12027800	11852500	11770000	14132900	5258980	5583830	4890170	5593180	5357040	5928380	5482060	5320050	5538900	5372100	4834860	4829510	4622500	4759000	4868180
P0AFI5	965678	1304520	1112380	1320020	353925	712232	699420	842427	795781	758671	555711	685567	756770	1048240	1247290	1079700	1497910	1178600	1086860	978475	1400700	1229480	980930	1168370	7700.11	14209.7	8260.54	18304.9	10803.1	17446.3	13790.8	10424.5	12661.6	22692	15608.9	22936.7	21260.7	983794	880704	981867	1253430	956520	1215680	949403	807839	1248120	1182840	866676	1724770	1361880	1438780	708143	664344	615265	713007	1017050	1053260	1063480	1217210	1030970	985830	1047100	948866	1106200	1161680	687087	385486	394773	300753	392885	441100	254647	508996	371862	299753	303890	421223	456778	283735	445867	369040
P25888	4696930	5201350	16101100	19138900	4143970	4413740	5384770	5084790	3895580	4364320	3567550	3691300	4005120	4933360	16138400	18815900	15786400	17432900	18026500	14557900	16347600	14259600	15555100	15725700	14907.5	22758.5	16694.1	24958.5	19761	22207.5	23329.5	18938.7	24137.2	99275	106799	118275	122355	1112220	1079040	1136720	1204430	1337740	1255050	1258600	851910	1151900	958479	1063610	5249560	5255500	4181490	1693520	1861620	1776230	1999820	7569830	7826100	6462230	7385100	7842530	6714310	6945700	7213570	6207160	6052400	1908050	581877	395468	609256	504371	499186	433665	537597	518596	426241	456412	1578650	2009910	1827900	1798490	1646980
P16659	95978700	96340000	101426000	102809000	91201200	93132300	91742600	82652600	70655600	86681400	82696300	46167700	95725100	83767600	96767100	99925400	101687000	76334200	101229000	94475600	104974000	105397000	95540600	100951000	603478	778656	656432	706424	718525	678573	640385	696811	726207	728998	736324	556718	790962	23921000	26427100	27324100	23084200	27116200	25225500	23248700	28510400	23303200	26047500	25654400	24740000	31456700	30383000	11294800	10759800	11146700	10585700	11813500	11875900	10389200	11689300	11516800	10980700	11662100	11188800	11630300	11599900	11487700	7334600	7990050	6717710	7760100	7207950	7182330	6953570	6634780	8266050	8132210	7953960	7959480	8183300	7970950	8016250
P0ABQ0	19967000	20396300	16895400	18416200	20079400	19429000	21109900	22910900	18372100	20266400	18812000	10198200	20549000	21982100	14743300	14884600	17026700	16498400	15222500	17348900	15674500	15886800	15757700	15631400	115174	127087	130591	109902	118207	107823	134218	139909	111774	87642.4	96291.6	64536	117542	4900820	4893760	5394170	4865170	5514450	4803690	4462780	5017310	4593080	4827860	5080680	3779350	4328490	3868390	4913150	4828660	4866750	4732040	3716950	3427890	3640210	3760740	3547940	3422840	3739310	3681620	3519990	3539440	4624840	1066300	1179080	963200	1147470	1087580	1049390	1048470	1033350	1059860	1179710	887630	835166	840317	881641	872579
P0ADC3	12872200	12661900	14557800	15536700	14229400	14541400	16133900	14292600	10303300	13230400	13619900	6520990	13737200	12891200	14854400	16652200	14606400	12005600	15894700	14085300	15369300	14483400	14059800	15708500	22609.8	23704.8	28963.5	26208.9	30090.4	16883.2	30013.1	28654.9	32668.7	26491.4	39803.2	23319.2	30085.3	1706490	1800410	1939190	1778940	1719400	1717760	2181620	1813430	1713240	1675350	1859470	2068420	2474280	2390860	1106390	1086390	1052560	1183740	1309330	1281470	1184660	1329590	1294810	1308320	1307740	1216570	1239850	1322660	1016040	465493	347125	512965	559853	481149	560639	594871	510638	468507	473564	662496	619830	695641	559171	686732
P10121	31926200	29847900	28232300	29304800	30018700	29778200	29298600	26769100	23044300	28906100	30995400	30944000	30983600	28190400	28311300	30379200	30342700	26053600	30805300	28892300	30441100	30577100	29371200	28978700	196490	214328	178721	223097	216890	183154	230541	195737	210659	199100	213850	174455	197845	15616800	15782200	16949000	13664700	17045800	16007000	12848500	16403700	15942100	15122000	15230300	16632900	15263900	14991400	7024480	7181730	7142290	6957430	6909660	6881970	6913560	6885880	7139770	6879300	6727650	6858900	6985340	6858860	6888750	2353570	2333800	2297060	2359900	2357040	2343410	2392030	2354480	2225580	2367680	2189520	2252170	2221580	2169860	2252690
Q46871	16444700	16263300	11916700	16352800	10878600	13560000	21015500	16846100	10611200	16690100	18969300	20876700	17932500	16756500	12472700	14838700	17076600	13219100	22179600	17038500	21368900	15068800	11969900	22576600	97410	104562	119263	106748	98884.2	74361.5	134485	118641	93680.4	50437.9	104836	89614.9	86727	9553130	8841450	9939990	17411700	10653600	10890400	15303000	7913730	12185600	12210300	11149300	10465700	11844800	8589440	3857860	4461600	4086060	6285480	5632330	6083150	7625080	5493960	5429190	6336240	5919010	5517500	5238320	4486700	5477560	2837280	2491570	3141040	2899980	2858840	3267190	3273350	3055780	2297100	1998990	3242380	3059890	2567990	2691780	2674150
P76541	19585600	20705500	11528400	14089000	19972500	21789400	21353000	20330200	18067700	21994000	19286100	24358300	20629800	17908800	12297900	16522300	16423000	16648800	16413000	16175400	16461200	14994700	13645700	15929700	93966.2	34032.5	91478.9	68374.1	83623.9	63372.3	81563.7	84332.8	74770.4	45033.8	66865	24847.7	36963.9	4270540	4214770	5014960	4026200	5837070	4127860	3197580	5295110	3513090	3790240	4125800	2874980	3228990	2909420	2203990	2000520	2378960	2016050	1528750	1537980	1581320	1464850	1589810	1604540	1456010	1584180	1545580	1514510	2097600	1447510	1411900	1253150	1372530	1373330	1412420	1408780	1282090	1322540	1394150	773527	1021150	1029990	999822	896113
P60293	37545400	38378300	32097900	35592900	35894200	36774900	37786900	33038800	27956300	36065800	36343300	19400200	37769500	34876800	32405800	34290700	34829200	29443600	38058000	33981700	37679600	35611600	31263400	37013200	34225.6	42319.5	43198.9	41468.2	47243.1	30250.9	41492.9	40769	40439.3	35586.2	36435.9	36079.3	35206	2563400	2667390	2799300	2639830	2772680	2617220	2668430	2729280	2569230	2744070	2811710	2477400	2678530	2544210	2190050	2190150	2272170	2175460	2137040	2110050	2242040	2086260	2087370	2144460	2140880	2030640	2105180	2105290	2146630	731840	755684	671547	707155	639909	740178	644878	643929	747350	818236	877304	795732	746263	788378	760568
P77674	30935700	33225800	2509500	3761120	21882300	28161500	66112000	30263600	24737900	29083700	33507000	24387700	30666300	33493100	2979870	3909880	3422300	4551680	4734910	3821070	3040820	2802110	3956510	3830540	189376	179651	204806	207385	188063	164552	284537	194159	169687	16557	21282.7	21231.1	21754.6	6514660	6441280	8358000	11116000	5282640	6661540	13041200	6702610	8437980	7674720	8374520	912753	1012730	659140	19588700	21129000	19452400	33042800	2842470	3150070	2362050	2902300	3189600	2726990	2740970	2797390	2391050	2396550	19239100	2378800	1893720	3048560	2834580	2197540	3749130	3231480	3066200	2272660	2308080	298228	412408	372812	348753	292519
P33232	190344000	210635000	136340000	142719000	215555000	217456000	227914000	208875000	193496000	243273000	195532000	126594000	218842000	218334000	128074000	131848000	144729000	126312000	164555000	169191000	150156000	142135000	156598000	144782000	145188	183218	167505	167884	187897	126027	200692	174792	146648	98705.7	88125.5	84103.7	118863	6514760	7565560	9488220	7503820	9026420	7331770	6905660	8759730	7662340	7879920	8220940	5617120	5896680	5325540	4633540	4814230	4563190	5462820	3398730	3289740	3084240	3367550	3385080	3370690	3453460	3228330	3160740	2933200	4668610	8841980	8691060	9353810	9112590	8358040	9180990	8581500	8092040	8662770	8309240	6150480	5669450	5585190	5940520	5533400
P0A9W3	84921100	85365000	74653800	75012400	90468500	81641000	98711000	89705300	87769200	94009600	83677000	72523400	88899500	95029700	73251300	71116000	71859800	81331700	76225400	81741900	75893100	73434700	82369900	75026200	833435	943824	951811	993368	1069280	989425	1152020	980376	960945	744699	780905	670868	811432	45531300	49811500	51149600	43093900	46592000	46170400	46471800	51409400	48653100	45268800	47590700	36322700	42281600	40168500	25897300	25529100	26261500	26837200	21217200	21139100	19001700	20488800	20820400	20552900	21285100	21528800	20025100	19870200	25412700	7537250	7060460	8008210	7331660	7651450	7960220	8188500	7996610	7306670	7596780	5571680	6152720	5790050	5703280	5740910
P45955	21354600	16803700	20559000	16390200	26664800	19028900	18105700	22956500	34543400	25272900	20938300	25680300	21514800	22053000	22606800	24476900	20612700	25932000	19757800	22139300	20753500	19506900	22195200	21333500	131232	159210	155426	137121	135395	153309	145151	136190	195638	103341	141717	116818	148125	25663500	21834600	16685700	25697900	16707300	20946100	21070000	14522300	22962500	19754100	17297400	12471900	11558300	9513440	7640600	9072620	7645580	6812720	6271920	6765290	6977260	6122820	7117400	7432290	6626550	6599610	6888330	6313500	6833290	1484440	1505720	1484930	1603060	1700410	1499770	1455840	1403140	1532890	1828830	1358550	1356690	1361060	1993410	1748030
P29131	7659770	7639350	9013040	7850300	9827860	7753690	7902610	9847730	12169000	10069300	7528330	7482430	8603780	9098090	9335970	8837750	8303500	10735700	7968930	9239650	8278100	8898410	10132800	8912240	111460	56519.4	116070	79520	111447	73244.2	69600.5	118626	103638	37302.2	132734	70289.1	85551.3	9240470	9683800	9527180	6926330	9194420	9221800	7993770	10183900	9720580	9748440	9242080	8837520	9594130	8582310	3026650	2839080	2825560	2592530	2659280	2564270	2665850	2613040	2601200	2768400	2617380	2572750	2727720	2712230	2620840	1352430	1365620	1272170	1359320	1438480	1309500	1384000	1359650	1431340	1457040	1357090	1307590	1270550	1286590	1324290
P15639	97824800	107677000	102975000	114227000	83818500	104024000	104179000	81863800	67081500	80028300	104317000	50144100	107282000	88133400	109661000	116679000	117826000	101143000	125952000	104103000	123213000	125304000	99533300	120988000	663079	589498	694180	446118	666652	489446	576957	685883	557727	557042	846155	552083	621973	29523800	30674500	37873900	33890700	33847300	34874800	36708800	33987800	33820200	36024100	39583600	40850300	51613100	51858300	25074800	28429800	25792600	29212900	34667800	35156000	31292800	35226700	35268000	33868800	34864100	34158800	35495300	35623300	28971800	13194400	13082100	11881400	14396500	12283100	14017400	11945400	11937600	13564400	11767600	15648300	16267500	16243100	15588900	16161900
