rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S91_Slot1-25_1_8674	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_023_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
P76418	3727220	3509290	2486300	3388910	3113530	4072590	3755530	2208310	1643110	2233960	3963870	2820240	3706650	2227800	2349980	3253390	2578130	1511670	3270060	2433480	3231160	3285610	2093300	2861990	41351.9	32429.6	33798.4	28476.2	36281.9	38842.1	36392.9	24241.2	33863.4	30639.2	33886.2	31827	33819.2	1017490	1030930	1273050	982173	1363510	989754	1030010	1234020	1061090	1041250	1072930	1052100	862809	960707	1267660	1125690	1316920	1245660	1031020	998209	1196880	1106540	1016470	1069920	1111140	1013650	1081360	1143780	1307530	232435	265452	245803	255340	257402	250757	242090	233587	225988	231971	191029	197228	204928	194567	192514
P0ADW3	99251800	85718300	94116000	78759200	119490000	90600600	96986300	132752000	133227000	131032000	94335300	132208000	107305000	130626000	110440000	105778000	107404000	123341000	86364800	114549000	90604800	103297000	122152000	86773000	553052	873822	777216	861999	956947	966563	894252	855198	788476	735876	780067	669902	773137	71738900	82462800	78977200	76398500	77137900	78612400	77016600	71545600	82600500	78813600	84047600	54995600	67031000	66469700	27591600	26596500	25317700	30303700	21348500	23945800	20036300	20677700	21127400	20795500	21392600	19131600	19500100	21207300	27512500	11554200	10331600	11411900	10877400	11439300	11530400	11835700	11230200	11021000	11011900	9982810	9111780	8909400	9675510	9433500
P09127	35632100	31795700	28219600	23998100	39014800	34857000	36902800	39781500	45780300	40774200	37745000	46648300	38867200	41495600	28911900	30985000	27126700	35367000	27360700	31433300	27522100	27159200	32717400	28380800	334441	267717	305804	209753	362291	174794	334504	303353	332008	149012	230395	121834	177454	18644200	18885600	19307100	14671700	18235000	18004200	16297800	19563100	18932600	17917400	17467600	14180200	13909800	12992100	14771300	14778300	14744700	14158600	10423100	10565700	9979720	10349900	10757800	10625400	10064500	9812780	10431800	10283900	14373100	3905300	3896500	3874090	3792630	4109220	4143620	4133410	4048430	3837630	4055170	2694900	2917620	2880110	2776650	2776830
P77488	28250100	28379800	24614500	23183300	29122700	28350800	30538600	25860600	21392600	27342200	24959000	13954800	26928300	27202100	22213800	22951800	22484400	19471700	22697400	21061900	21211500	22068600	23203500	21031800	159076	146917	156259	154217	170399	166875	177244	176185	192375	175707	143064	143804	163714	6890480	7575150	8483340	5785610	8209760	7078760	6708880	9278700	6934100	7269880	7478690	5574080	6737070	6671400	5656380	5315780	5445550	5116340	4131640	4177660	3394740	4198140	4149820	3809170	3961900	3909230	3919110	4069390	5213750	2038120	2161390	2019220	2172690	2068840	2156580	2104460	2003600	2293570	2341150	1677400	1677620	1783130	1711980	1733680
P23721	234949000	229723000	410357000	422269000	230778000	220742000	227022000	251244000	229373000	246745000	206123000	150718000	245400000	259206000	417050000	411012000	440304000	443753000	429290000	488179000	422766000	410293000	458168000	425827000	1217350	1399590	1187480	1462780	1320420	1394070	1279730	1274000	1326690	2099800	2352130	2299490	2646770	65545800	69061900	77568000	59599400	76229100	73534800	59108100	74985400	66912400	71325800	68389600	115415000	136066000	124911000	78651100	76582000	79855800	76065600	139100000	140361000	139084000	135440000	136443000	139528000	137773000	139480000	138031000	134780000	81936900	14610800	14032700	13656900	14737000	13979200	13508200	13857600	14003200	13993900	14074500	25157600	24165800	23714800	23686900	24781600
P21170	40386400	43944400	37454100	47843800	28277800	35941300	42382500	32014200	21524500	30157700	38860300	20020900	41421700	32044400	40822000	44791100	49016700	30644000	50746400	39883800	50279800	46378900	35427400	48447100	311586	418025	372118	335716	326844	327708	442986	329349	303628	340079	369546	340397	434398	17999900	19061300	20913800	22282700	17637100	19669200	22403100	16873800	19614000	21860000	22303400	17879400	24030800	20773000	13774200	14598700	13986500	16889200	18025000	17280500	15860600	16904400	17691300	15410300	17897400	17587500	16973800	16789200	15729000	5304120	5849050	4248230	6464960	5462290	6092600	5260050	4887980	6131890	5742240	7547290	7300280	7506410	7568440	7555430
P43329	17745400	18319900	23787300	23914900	18272000	18287300	20190700	17863100	15945500	17816200	16736500	8529590	18362000	18095900	23004400	23096300	23180800	20449300	22333800	22924400	21906200	22449900	21549200	22917200	136805	163376	158894	170346	158477	175716	150856	177457	173934	243486	227635	201942	249604	3701380	4133780	4410170	4160850	4564840	3923090	4124010	5154370	4110920	4237080	4554160	4706260	5758480	5695630	2360200	2218690	2373490	2502480	3030840	3007370	2636190	3070080	2929460	2924710	2963380	2981820	2871880	3060560	2460020	1662240	1618650	1517420	1643820	1624560	1698730	1581050	1528320	1665780	1615670	2113160	2189210	2146930	2146260	2205830
P15286	2008870	2081200	2720780	2429980	2322840	1836670	2629000	2171990	2472100	1822840	2024870	2463980	2262900	2073440	3001730	3212480	2734360	2822710	2785100	2661640	2602010	2580060	3011100	2474260	9627.25	19119.9	14132	13563.2	12738.9	19800.5	21566	12739.2	16188.6	18832	18950.4	26474.9	24455.4	723656	751245	852936	767891	681934	756528	700526	640973	749172	722752	693783	835945	907360	727878	763558	810712	765524	776802	934014	936014	911924	971715	935704	851321	871717	861959	888860	843918	744884	94081	NA	77254.6	NA	85988.4	112296	104381	NA	160107	NA	93522.6	131030	121627	154045	137602
P0AEX3	17775600	18636000	3892950	6868350	6890220	17262300	19494000	6682320	3727670	6120770	19599800	13762300	14445800	5171620	4701160	7350900	7784650	2999710	10260000	3662470	12006500	7384230	3153430	8545280	1785.58	7367.1	1828.11	7067.24	499.693	2437.4	5043.94	5736.63	4661.41	2489.79	3112.12	NA	1929.87	810572	798088	717229	935022	579805	618001	1138390	515294	845814	518076	677305	NA	353908	187549	5488340	7007150	4935650	7180790	3088450	2860340	2262100	2304480	2617980	2534770	2420350	2201680	1818310	2285870	4783570	180779	243124	185970	422703	279429	372052	264803	212589	477744	190319	334812	272676	146208	394015	234914
P07118	139889000	144142000	167447000	171015000	124250000	133687000	140469000	125559000	104682000	128904000	125762000	75597500	137173000	128628000	161242000	156133000	168307000	131789000	166040000	166638000	166165000	171574000	161943000	158741000	483684	475323	452465	472026	477272	594038	458270	555449	543917	604929	650762	601354	645367	39433000	42810100	43084300	40936300	44921400	41322000	40728600	54514200	41472500	43702400	45582900	49533400	58517900	56880500	21508100	20115200	21201900	20431900	26371400	26005900	22903200	25602700	24073800	23986200	25012400	24747600	24716600	24988200	21900700	11874600	11965100	11024500	12594500	11591400	11840400	11223700	11525200	13312000	12505600	14185200	14193400	15271800	14319600	15172800
