"rowname"	"DDA_APT_D5_1"	"DDA_APT_D6_1"	"DDA_APT_F7_1"	"DDA_APT_M8_1"	"DDA_APT_D5_2"	"DDA_APT_D6_2"	"DDA_APT_F7_2"	"DDA_APT_M8_2"	"DDA_APT_D5_3"	"DDA_APT_D6_3"	"DDA_APT_F7_3"	"DDA_APT_M8_3"	"DIA_APT_D5_1"	"DIA_APT_D6_1"	"DIA_APT_F7_1"	"DIA_APT_M8_1"	"DIA_APT_D5_2"	"DIA_APT_D6_2"	"DIA_APT_F7_2"	"DIA_APT_M8_2"	"DIA_APT_D5_3"	"DIA_APT_D6_3"	"DIA_APT_F7_3"	"DIA_APT_M8_3"
"RNA-binding protein NOB1"	18.3297741630003	18.2078091198842	17.9241914186565	18.412674703446	18.3699623652538	NA	18.4755598706923	18.2703574417929	18.3161978876133	18.3155897803176	18.17822749576	18.4060773050856	17.7492198667221	16.9011692565967	17.0257838938515	18.2756668503857	17.1842402136277	17.3714454306165	18.2152583821207	17.9894243407499	17.7748474147167	17.4067258275377	17.5951434421144	17.8184970473537
"RNA-binding protein PNO1"	17.7291107748621	NA	NA	17.9801558663769	18.2573786789066	17.4258958673018	17.51037042059	17.9114987991873	17.6097960994317	17.7986530926878	17.9337470566436	18.1748943173379	18.2776104619167	17.9642930291114	18.2282611034307	17.9930125439958	18.2578942623159	18.0378251036214	18.1433223460923	18.1184158997057	18.2203068553422	18.0231094003886	18.2602547502079	17.9502385241194
"RNA-binding protein Raly"	20.1746133601452	19.9727327307424	20.0325102595218	20.1355397679816	20.1156824477311	19.9205948667361	19.9382992854379	20.0919185757318	20.0862329761319	19.9843000948453	19.9687886992683	20.1878221647879	20.4358913511445	20.5457141085095	20.3913042278452	20.5370065463779	20.3960646438414	20.5909202336754	20.4955248155283	20.6635396249823	20.6246360286617	20.532888610743	20.4603565540743	20.6730882869701
"RNA-binding protein with serine-rich domain 1"	19.140004260309	19.2031559817208	19.0463308281616	18.9774239643772	19.0121040621498	18.9220049974104	18.9394981049609	18.9043773285861	19.0107709135132	18.8993436621473	19.0243882303578	19.1731108655206	19.3554139273918	19.4437788354055	19.2103999002559	19.3461051424643	19.432301029032	19.3858777830156	19.3040272995625	19.4480178919888	19.4593878801286	19.1652326472088	19.3579673323384	19.4571293003558
"RNMT-activating mini protein"	NA	NA	18.754632279526	NA	17.4837119145015	17.3364609565553	17.7434733427589	17.2110355254884	17.995468833599	17.7023949292286	17.7915313421496	17.4194844785705	18.404658335057	17.7784048202774	17.4342571914586	17.8219413971316	18.0815436720742	17.3858743047318	18.0550662178321	17.9190185848162	17.8972776801696	17.8166564804806	18.799027820874	17.0787438855324
"Rootletin"	20.5874213004455	20.6170511735277	20.500013763031	20.6675125465497	20.498392658523	20.4884000816918	20.4100036881394	20.6013631935833	20.5990718478703	20.6003428614708	20.3906885019877	20.67599086991	21.6021016202815	21.4594744567937	21.6087215760759	21.7082050913082	21.5015124215257	21.6692617215823	21.5817653352177	21.7521518320123	21.5464815672479	21.4510752891595	21.5151863978543	21.7731871867737
"rRNA 2-O-methyltransferase fibrillarin"	20.8939145325092	20.6913083330538	20.6915206386631	20.736651238809	20.9102451982593	20.793003655887	20.773628660776	20.6727600551621	20.973458546967	20.7467039563223	20.8068634776476	20.6405662778158	21.3674943737049	21.1135835063956	21.0968307933717	21.0847132040777	21.5564568721241	21.1340867866812	21.2804514213386	21.1188758018693	21.5720270669228	21.1294878871757	21.3356471613229	21.1346843263169
"rRNA-processing protein UTP23 homolog"	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.3001149430077	17.9365632337968	NA	15.8722671234663	17.3242210643267	18.1928153702446	16.8891204155042	16.7059388463679	17.1808625478015	16.7556422454236	19.4067181618306	17.0417271437868	16.8559426305284	18.2618853796839	18.3729177763017
"rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1"	20.5515326709308	20.3599799497686	20.3016076926421	20.2130070811867	20.6074520359458	20.1760504672063	20.2191599052806	20.322948835991	20.6695244326038	20.2398770689589	20.3182058237472	20.2725681767067	20.5945690742812	20.4457978489307	20.5373554696402	20.317198296146	20.6294897151912	20.4805953279673	20.4824722684436	20.3775512671129	20.7635568717959	20.5503930531461	20.5424267983946	20.4314340019106
"RRP12-like protein"	19.025008272067	18.9748397134567	18.9257896974385	18.5663841850275	19.133561207486	18.7176010372895	18.9366058248436	18.8706211161073	19.1789428127482	18.8820675678319	18.8287115172123	18.8121712325021	19.3878314632782	19.0227424703923	19.1208571367079	18.8749619604916	19.2918511792815	18.9197359668294	19.2323439356438	18.705932207516	19.3209373789838	19.0837933075614	18.9965537419801	18.9356374148352
"RRP15-like protein"	17.5036801632305	17.4037598353981	17.5226679875394	17.6164876126304	17.6907032564817	17.5213167493407	17.6142234370538	17.616601582139	17.7715691451706	17.4924958159461	17.433591084737	17.7294434281274	18.2691358078908	18.1583320745279	18.2599209480644	17.8405383617796	17.1113551275797	18.0740967223424	18.290835908667	18.1386542648295	18.3790451400869	18.2471011522717	18.3058643667298	18.0077773110273
"RUN and FYVE domain-containing protein 1"	18.7332842896278	18.7598278472522	18.3452927566229	18.7292914471299	18.8200159136164	18.8890040271034	18.2528763191315	18.6298773185421	18.7758275589905	18.7207372340961	18.5460999126174	18.9431226213764	19.2341293597271	18.9328421408653	18.710986487167	19.0112741374475	18.9890689091677	19.0686026563359	18.8557050615485	19.0959728840888	19.2214801612083	19.0386970615465	18.802718069687	19.1754533915437
"Runt-related transcription factor 3"	17.9539501646903	NA	18.9415176410514	NA	18.4343408695063	18.2115001401182	19.1240094676525	17.6925537534229	17.6189496596367	17.9956831683455	17.9983987038121	18.0858241946925	18.488978349439	18.290015626104	18.4622332528071	18.2978938639701	18.418489200516	18.292812020326	18.1554393143784	18.5464142852899	18.7653014406865	18.4934540476465	18.358347596653	18.6217675552477
