file	HGSC
GSM657519	0
GSM657520	0
GSM657521	0
GSM657522	0
GSM657523	0
GSM657524	0
GSM657525	0
GSM657526	0
GSM657527	0
GSM657528	0
GSM657529	1
GSM657530	1
GSM657531	1
GSM657532	1
GSM657533	1
GSM657534	1
GSM657535	1
GSM657536	1
GSM657537	1
GSM657538	1
GSM657539	1
GSM657540	1
GSM657541	1
GSM657542	1
GSM657543	1
GSM657544	1
GSM657545	1
GSM657546	1
GSM657547	1
GSM657548	1
GSM657549	1
GSM657550	1
GSM657551	1
GSM657552	1
GSM657553	1
GSM657554	1
GSM657555	1
GSM657556	1
GSM657557	1
GSM657558	1
GSM657559	1
GSM657560	1
GSM657561	1
GSM657562	1
GSM657563	1
GSM657564	1
GSM657565	1
GSM657566	1
GSM657567	1
GSM657568	1
GSM657569	1
GSM657570	1
GSM657571	1
GSM657572	1
GSM657573	1
GSM657574	1
GSM657575	1
GSM657576	1
GSM657577	1
GSM657578	1
GSM657579	1
GSM657580	1
GSM657581	1
GSM657582	1
GSM657583	1
GSM657584	1
GSM657585	1
GSM657586	1
GSM657587	1
GSM657588	1
GSM657589	1
GSM657590	1
GSM657591	1
GSM657592	1
GSM657593	1
GSM657594	1
GSM657595	1
GSM657596	1
GSM657597	1
GSM657598	1
GSM657599	1
GSM657600	1
GSM657601	1
GSM657602	1
GSM657603	1
GSM657604	1
GSM657605	1
GSM657606	1
GSM657607	1
GSM657608	1
GSM657609	1
GSM657610	1
GSM657611	1
GSM657612	1
GSM657613	1
GSM657614	1
GSM657615	1
GSM657616	1
GSM657617	1
GSM657618	1
GSM657619	1
GSM657620	1
GSM657621	1
GSM657622	1
GSM657623	1
GSM657624	1
GSM657625	1
GSM657626	1
GSM657627	1
GSM657628	1
GSM657629	1
GSM657630	1
GSM657631	1
GSM657632	1
GSM657633	1
GSM657634	1
GSM657635	1
GSM657636	1
GSM657637	1
GSM657638	1
GSM657639	1
GSM657640	1
GSM657641	1
GSM657642	1
GSM657643	1
GSM657644	1
GSM657645	1
GSM657646	1
GSM657647	1
GSM657648	1
GSM657649	1
GSM657650	1
GSM657651	1
GSM657652	1
GSM657653	1
GSM657654	1
GSM657655	1
GSM657656	1
GSM657657	1
GSM657658	1
GSM657659	1
GSM657660	1
GSM657661	1
GSM657662	1
GSM657663	1
GSM657664	1
GSM657665	1
GSM657666	1
GSM657667	1
GSM657668	1
GSM657669	1
GSM657670	1
GSM657671	1
GSM657672	1
GSM657673	1
GSM657674	1
GSM657675	1
GSM657676	1
GSM657677	1
GSM657678	1
GSM657679	1
GSM657680	1
GSM657681	1
GSM657682	1
GSM657683	1
GSM657684	1
GSM657685	1
GSM657686	1
GSM657687	1
GSM657688	1
GSM657689	1
GSM657690	1
GSM657691	1
GSM657692	1
GSM657693	1
GSM657694	1
GSM657695	1
GSM657696	1
GSM657697	1
GSM657698	1
GSM657699	1
GSM657700	1
GSM657701	1
GSM657702	1
GSM657703	1
GSM657704	1
GSM657705	1
GSM657706	1
GSM657707	1
GSM657708	1
GSM657709	1
GSM657710	1
GSM657711	1
GSM657712	1
GSM657713	1
